Date,Open,High,Low,Close,Adj Close,Volume,indicator
2020-09-18,30.5,31.200001,30.5,30.790001,30.537115000000004,8061000,1.0
2020-09-21,30.290001,30.77,29.219998999999998,29.51,29.267628000000002,4516900,0.0
2020-09-22,29.51,30.33,29.49,30.26,30.011469,4719700,1.0
2020-09-23,30.4,30.42,29.1,29.110001,28.870913,3348800,0.0
2020-09-24,29.120001000000002,29.969998999999998,28.790001,29.879998999999998,29.634586,4269300,1.0
2020-09-25,29.4,30.5,29.35,30.49,30.23958,2845700,1.0
2020-09-28,30.75,31.559998999999998,30.43,30.74,30.487526000000003,7027600,1.0
2020-09-29,30.51,30.690001000000002,30.08,30.5,30.249496,6851300,0.0
2020-09-30,30.610001,31.24,30.35,30.540001,30.289169,5066600,1.0
2020-10-01,30.719998999999998,31.059998999999998,30.549999,30.77,30.517281,3730300,1.0
2020-10-02,30.34,31.52,30.26,31.23,30.973499,2483100,1.0
2020-10-05,31.639999,32.470001,31.639999,32.080002,31.816522999999997,5088600,1.0
2020-10-06,32.34,32.389998999999996,31.450001,31.51,31.2512,2439400,0.0
2020-10-07,31.93,32.290001000000004,31.889999,32.119999,31.856192,2209700,1.0
2020-10-08,32.310001,32.466999,31.629998999999998,31.950001,31.687586,2276400,0.0
2020-10-09,31.91,32.549999,31.709999,32.23,31.965288,2700800,1.0
2020-10-12,32.59,33.16,32.200001,33.0,32.728962,3302600,1.0
2020-10-13,33.299999,33.470001,32.040001000000004,32.490002000000004,32.223152,3534500,0.0
2020-10-14,32.68,33.049999,32.43,32.509997999999996,32.242985,3443600,1.0
2020-10-15,32.09,32.66,32.009997999999996,32.599998,32.332249,2691600,1.0
2020-10-16,32.919998,33.27,32.419998,32.759997999999996,32.490936,3723000,1.0
2020-10-19,32.799999,33.0,32.07,32.32,32.054546,5529300,0.0
2020-10-20,32.450001,33.799999,32.349998,33.23,32.957073,3944800,1.0
2020-10-21,33.060001,33.439999,32.900002,33.349998,33.076088,2909800,1.0
2020-10-22,33.150002,34.130001,33.150002,33.889998999999996,33.611652,3987700,1.0
2020-10-23,33.900002,34.959998999999996,33.860001000000004,34.93,34.643112,5072400,1.0
2020-10-26,34.450001,34.450001,33.27,33.709998999999996,33.433132,5196800,0.0
2020-10-27,33.830002,33.939999,33.110001000000004,33.599998,33.324032,4032300,0.0
2020-10-28,32.93,33.759997999999996,32.759997999999996,33.299999,33.026497,6485900,0.0
2020-10-29,33.790001000000004,34.779999,32.93,34.07,33.871552,11949600,1.0
2020-10-30,33.970001,34.880001,33.0,33.389998999999996,33.195507,6741100,0.0
2020-11-02,34.0,35.130001,33.869999,35.099998,34.89555,6313000,1.0
2020-11-03,35.450001,37.009997999999996,35.43,36.950001,36.734776000000004,6733100,1.0
2020-11-04,35.630001,37.400002,35.5,36.779999,36.565765,9039400,0.0
2020-11-05,37.509997999999996,38.299999,37.380001,38.200001,37.977493,5778100,1.0
2020-11-06,38.529999,39.029999,38.145,38.950001,38.723125,3443000,1.0
2020-11-09,40.740002000000004,41.299999,38.68,38.799999,38.573994,7186400,0.0
